Algorithm,mean_rmse,mean_mae,mean_fit,mean_test,std_rmse,std_mae
SVD,0.9359850036271774,0.7243955661809204,12.203501145044962,0.18397148450215658,0.0037196820222594523,0.0037984040491466685
SVD++,0.9456172176077638,0.733964616467962,37.15860358874003,0.5710673332214355,0.003151642757467074,0.0034607183667345717
ALS,1.5059728734250148,1.2363394639044503,18.89720630645752,0.5854437351226807,0.006936087091360878,0.007859845505437087
KNNBasic,1.1495309339101387,0.8665449037089656,18.133618752161663,47.386874516805015,0.0064348033893417735,0.005833291643695085
